metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,relevance_raw_mean,relevance_raw_std,relevance_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,1.8911268239869339,6.69216305710379,100.0,0.0,47.415601958629956,,,,,,,,,,,,,,,,,,
coherence_raw,overall,93.43607446007798,3.8779442955977053,100.0,86.11227897081993,99.99999965816723,,,,,,,,,,,,,,,,,,
relevance_raw,overall,99.99995984961072,0.00020709722484086422,100.0,99.99801113159158,99.99999999963516,,,,,,,,,,,,,,,,,,
,,,,,,,self_deprecating_0,7.061941688548156e-14,0.0,1.0,95.65662456265869,0.0,1.0,99.99999998271092,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_1,2.3153252232177643e-05,0.0,1.0,91.08177893626662,0.0,1.0,99.99998536740227,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_2,7.009151891220833e-10,0.0,1.0,87.83702323429151,0.0,1.0,99.99999895482297,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_3,1.2961942572726682e-06,0.0,1.0,99.99973090906255,0.0,1.0,99.99999999783266,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_4,9.123757074576118e-12,0.0,1.0,99.95071459261948,0.0,1.0,99.9999999935939,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_5,0.009241364752686105,0.0,1.0,95.02654287754721,0.0,1.0,99.99999998899196,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_6,2.8257572871134346e-15,0.0,1.0,99.99995112498975,0.0,1.0,99.99999999914247,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_7,0.00184093472621647,0.0,1.0,91.19173847542127,0.0,1.0,99.99977217133724,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_8,2.1888041842061014e-13,0.0,1.0,90.8250626638217,0.0,1.0,99.9999994251111,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_9,9.638355356495203e-15,0.0,1.0,99.99999965816723,0.0,1.0,99.99999999963516,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_10,1.1730391330419666e-05,0.0,1.0,92.16647815081635,0.0,1.0,99.99999876324331,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_11,0.8464154506506317,0.0,1.0,94.95986056340462,0.0,1.0,99.99999999569334,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_12,0.0010548134995241735,0.0,1.0,88.99600735693761,0.0,1.0,99.99992581001909,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_13,1.4083201013795823e-11,0.0,1.0,94.9593969382357,0.0,1.0,99.99999980915638,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_14,5.303430298521316,0.0,1.0,99.74678500695117,0.0,1.0,99.99999999364026,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_15,15.399097204332229,0.0,1.0,91.53568369460594,0.0,1.0,99.99999948424815,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_16,1.9634369607761354e-09,0.0,1.0,89.88615966376072,0.0,1.0,99.99967563576965,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_17,1.0469865917494667e-06,0.0,1.0,94.98017027515442,0.0,1.0,99.99999991986698,0.0,1.0,,,,,,,,
,,,,,,,self_deprecating_18,9.53325889874672,0.0,1.0,93.87653186374527,0.0,1.0,99.99984090693415,0.0,1.0,,,,,,,,
