metric,level,mean,std,count,min,max,question_id,concept_score_raw_mean,concept_score_raw_std,concept_score_raw_count,coherence_raw_mean,coherence_raw_std,coherence_raw_count,relevance_raw_mean,relevance_raw_std,relevance_raw_count,model,concept,coef,layer,steering_type,steering_direction,n_per_question,total_samples
concept_score_raw,overall,91.2876806415091,16.893906305230786,100.0,5.999906987316025e-07,99.99999667034194,,,,,,,,,,,,,,,,,,
coherence_raw,overall,87.5409744383153,11.773603424328499,100.0,31.97521490366515,99.9999772736128,,,,,,,,,,,,,,,,,,
relevance_raw,overall,90.75193151852491,18.388394667774868,100.0,7.0753131904435556,99.99999998693593,,,,,,,,,,,,,,,,,,
,,,,,,,hallucinating_0,99.89836311735402,0.0,1.0,94.49739741094714,0.0,1.0,99.9764346352673,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_1,99.99719759104708,0.0,1.0,84.52511018815039,0.0,1.0,79.85320155334409,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_2,99.84878284921065,0.0,1.0,84.35221196088476,0.0,1.0,67.5868595674662,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_3,99.98928963835046,0.0,1.0,94.93146063463304,0.0,1.0,99.99051063183451,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_4,83.96626144133539,0.0,1.0,91.21336866810913,0.0,1.0,99.2284319311887,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_5,99.99976919982102,0.0,1.0,88.97106021786851,0.0,1.0,48.687339076361894,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_6,99.99945841168258,0.0,1.0,94.04519334516475,0.0,1.0,99.67339123163026,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_7,91.9736221787385,0.0,1.0,89.54318031110745,0.0,1.0,92.54055379174748,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_8,89.70901355853988,0.0,1.0,94.50215044392579,0.0,1.0,99.83498891998198,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_9,32.78401190118465,0.0,1.0,94.7684665909797,0.0,1.0,99.99991233754021,0.0,1.0,,,,,,,,
,,,,,,,hallucinating_10,99.99988130743235,0.0,1.0,92.58325096649727,0.0,1.0,87.79994247290664,0.0,1.0,,,,,,,,
